player_id,theta
1791,-2.099182
1804,-1.77236
1809,-1.86453
1871,-1.832031
1894,0.081607
1902,0.332304
1907,1.157945
1919,-0.361762
1940,-0.037371
1948,-0.051536
1964,-1.286262
1966,-0.04724
1970,0.458359
1981,-1.781253
1983,-0.023694
2001,-0.071347
2004,-0.382066
2005,0.403589
2013,-0.864392
2027,0.244897
2031,-0.482004
2033,-0.384121
2051,-0.191887
2054,-0.992387
2065,0.050807
2066,-0.813128
2077,0.132249
2094,-2.624465
2115,-0.005886
2137,0.639642
2155,-0.366722
2221,0.249704
2233,-0.086428
2251,-0.179862
2268,0.073061
2282,0.618499
2284,-0.714652
2287,-0.690122
2291,0.359943
2319,-0.911955
2322,0.181829
2323,0.129327
2336,-0.024586
2344,-0.42642
2382,-0.09231
2384,0.355281
2396,-2.464135
2398,-4.551681
2404,-0.466335
2414,0.142063
2421,0.777159
2441,-0.140836
2448,0.536201
2463,-1.487862
2466,0.137843
2475,-0.000575
2490,-0.120946
2502,0.155654
2541,-0.271083
2548,1.184683
2577,0.547616
2594,-1.733865
2595,0.259892
2642,0.397052
2643,-0.161172
2659,-0.213398
2668,-0.360811
2673,-0.677956
2678,0.079043
2694,-1.419826
2697,-2.52435
2698,0.108512
2705,-0.21706
2706,0.123144
2758,0.544521
2763,0.114391
2828,0.854574
2838,-0.428275
2851,0.339189
2885,0.730163
2888,-0.018914
2891,0.126065
2898,-0.317553
2902,-0.787538
2904,-0.98573
2910,0.376532
2914,-0.271699
2917,-1.876191
2924,-1.413967
2927,-0.094411
2952,0.302163
2954,0.569696
2993,-0.463918
3026,-0.824534
3032,-0.074229
3041,0.022491
3058,0.223336
3065,-0.377884
3083,-0.365157
3088,0.461506
3096,0.98398
3101,0.545967
3132,-1.159169
3154,-0.72109
3157,-0.254485
3159,0.079985
3178,0.245472
3179,-1.01368
3197,-1.763121
3199,0.018189
3207,0.476589
3208,-0.061529
3217,-1.218719
3222,-0.449567
3227,0.015434
3231,-1.346732
3239,0.239226
3240,-0.092779
3241,-0.599403
3242,0.283262
3256,-0.878412
3270,-0.136224
3276,0.345645
3278,0.60509
3293,0.353583
3298,-1.669324
3325,-0.853325
3327,0.275464
3344,0.131437
3347,0.494844
3350,-1.603299
3351,-0.409044
3355,-1.517807
3381,-1.762079
3385,-1.329373
3386,0.068426
3387,-1.709622
3417,-0.538853
3422,-0.538853
3423,0.28194
3425,0.025289
3427,-0.604146
3434,-1.15813
3438,0.406853
3440,0.24743
3450,0.04675
3466,-0.10227
3474,-1.545334
3494,-0.198143
3496,-0.654848
3498,-0.85911
3499,-0.702878
3507,-0.173799
3512,-0.47664
3568,0.286681
3577,0.84055
3608,0.028977
3630,-0.245356
3645,0.264561
3658,1.064974
3663,0.038229
3671,0.245608
3701,0.245121
3726,0.156157
3762,-0.096025
3767,0.228275
3795,0.610444
3800,0.301238
3812,-0.284052
3843,-5.368878
3868,-0.391183
3883,-1.112742
3909,0.225376
3910,0.101786
3914,-3.646085
3925,0.116498
3945,0.209408
3963,-0.444808
3974,-0.281467
3983,-0.872252
3996,-0.444808
4022,-0.181998
4026,0.074194
4028,-0.271973
4039,-0.069866
4046,-0.114213
4063,0.275464
4064,0.608759
4095,-0.218005
4113,0.217276
4114,0.117544
4121,0.475812
4155,-0.323692
4181,-0.277517
4213,-1.121919
4223,0.268844
4224,-0.965968
4226,0.237181
4237,-0.631994
4246,-0.053553
4258,0.492458
4261,0.342966
4265,-1.693581
4270,0.161813
4271,0.165966
4281,-0.990475
4289,-2.101809
4297,0.058217
4307,0.592964
4337,-0.057899
4382,-0.13636
4383,-0.148562
4401,-0.415333
4408,-0.361762
4414,0.180082
4417,-0.370157
4426,-0.021768
4440,-1.382026
4458,1.24772
4477,-1.090126
4513,-2.439269
4515,-0.071065
4599,-1.838713
4602,0.616036
4614,0.15553
4622,0.222648
4623,-1.152703
4637,0.311801
4711,-0.845715
4715,-1.29235
4722,-0.51621
4728,-0.758597
4730,0.339794
4732,-0.542975
4733,-1.248248
4742,0.430367
4743,-0.391447
4762,-1.314274
4763,0.329951
4802,-0.430993
4812,-0.158295
4813,-0.441833
4821,-3.309272
4847,-3.134587
4852,0.046148
4854,0.513572
4861,-0.242876
4863,-0.106631
4865,-0.1758
4869,0.097225
4870,0.369413
4872,-0.192863
4875,0.199447
4878,0.605258
4879,-0.057903
4886,-1.041312
4890,-0.117967
4905,-0.178686
4960,-2.748893
4964,-0.530809
4991,0.077128
5004,-0.428068
5007,0.202076
5018,-0.442078
5023,-0.644572
5034,-0.083565
5056,-0.083038
5104,0.459306
5124,0.101472
5130,0.215263
5146,0.010154
5150,-2.309452
5162,0.903273
5181,0.060105
5185,-0.144561
5195,0.340978
5199,-0.520791
5203,-3.639364
5224,0.120737
5244,0.262395
5246,0.577302
5250,-1.954208
5262,-0.342375
5283,0.306748
5290,-0.222023
5298,0.483756
5309,0.341639
5316,-0.628532
5328,0.760468
5331,-0.138822
5362,0.453382
5380,-1.168422
5386,-2.071544
5406,-2.798856
5415,-0.82095
5431,-1.247959
5440,-0.31412
5475,0.094151
5481,0.295501
5483,0.474379
5488,-0.26793
5510,0.057041
5517,0.365095
5526,0.012399
5540,-0.079319
5583,0.094195
5586,-0.408604
5592,-0.862188
5598,0.091443
5607,-1.889258
5609,0.519906
5611,0.033356
5636,0.577391
5693,-0.381988
5701,0.189727
5717,0.025532
5719,0.261133
5720,-0.033081
5726,-2.318104
5734,-1.011869
5760,0.120737
5785,0.359116
5792,-2.262455
5803,0.032823
5806,-0.099824
5811,-2.933129
5825,-0.744981
5828,-0.182543
5829,-0.135894
5851,-1.191804
5862,-0.70814
5868,0.087327
5876,0.19279
5883,-1.960442
5908,-2.48984
5909,-2.067323
5927,-1.305419
5935,0.650517
5943,-0.539779
5974,-0.219495
5990,0.446655
5999,-0.093315
6000,-0.053356
6017,-3.616118
6053,-0.612798
6055,0.146269
6064,-0.04405
6071,-0.582065
6072,0.062173
6076,0.305702
6099,-4.261733
6130,-0.69032
6166,-0.24061
6169,-0.24061
6204,0.15176
6207,0.197625
6212,0.586379
6235,-1.687832
6267,-0.930976
6278,-0.853325
6284,0.432191
6311,-0.215695
6312,-1.490371
6316,0.264704
6321,-0.650473
6324,0.024317
6349,-4.125222
6352,0.447496
6357,0.276501
6361,-0.175386
6366,-0.037466
6397,0.875064
6482,0.510024
6485,0.201288
6506,-0.29145
6520,0.254747
6523,-0.300165
6525,-0.357782
6528,-1.01003
6530,0.54657
6532,-0.108135
6544,-0.049545
6545,-0.675176
6559,-0.823364
6564,-1.279505
6575,0.411029
6586,0.075464
6590,0.329848
6603,-2.606918
6611,0.259878
6612,-0.255651
6616,-0.215459
6628,0.233186
6640,0.469446
6681,0.03088
6714,-0.442013
6792,-0.045533
6805,-0.861365
6811,-0.485503
6837,-0.729648
6840,-0.603033
6841,0.692454
6843,-0.24567
6853,0.187882
6862,-2.000951
6867,0.273071
6876,-0.924514
6893,-2.093741
6935,-1.432563
6940,-0.903278
6965,-0.384755
6978,-0.928479
6986,-0.319008
6996,-0.355791
7002,-1.397485
7008,-0.46389
7031,-0.603204
7046,-0.151381
7056,-0.190379
7085,-0.588106
7097,-0.564548
7101,-0.696844
7119,0.165267
7125,-3.13364
7137,0.027777
7148,0.277983
7153,-0.413514
7194,0.014725
7196,-0.640704
7231,-0.068272
7244,-0.653873
7267,-3.152288
7289,-1.402737
7294,0.291349
7295,-0.249102
7304,-0.488586
7305,-2.560564
