rank,player_id,first_name,last_name,theta,games,zurich_games,zurich_teams
234,267832,Александр,Милантьев,-0.512409,80,79,23
235,319603,Павел,Крылов,-0.514855,10,10,2
236,319604,Павел,Сысоев,-0.514855,10,10,2
237,199526,Виталий,Дмитриев,-0.520927,14,14,6
238,303319,Анна,Клейменова,-0.526994,42,36,20
239,162762,Игорь,Окс,-0.529072,18,18,5
240,43068,Анастасия,Архангельская,-0.544975,187,107,16
241,188142,Анна,Манаева,-0.556931,20,19,8
242,158778,Дмитрий,Осмаков,-0.565958,90,86,21
243,308172,Александр,Медведев,-0.566115,10,10,4
244,265542,Валерий,Лесин,-0.576397,56,56,14
245,267894,Дмитрий,Узилевский,-0.576414,89,88,14
246,306977,Александр,Пирко,-0.57906,36,34,8
247,317670,Нина,Жарикова,-0.58885,27,26,4
248,82551,Татьяна,Герасимова,-0.592063,29,12,2
249,264248,Абдулазиз,Разаков,-0.593503,16,16,5
250,278208,Наталия,Сизова,-0.598499,15,15,4
251,305160,Анна,Дермичёва,-0.610391,35,34,8
252,280422,Константин,Чаркин,-0.615234,90,89,8
253,308340,Светлана,Кучумова,-0.620467,21,21,2
254,307637,Ирина,Гаврилина,-0.625663,34,34,4
255,37769,Дмитрий,Сергеев,-0.631117,9,9,3
256,305161,Евгений,Колосов,-0.637426,56,55,9
257,278207,Дмитрий,Сизов,-0.650582,21,21,7
258,301362,Софья,Добрынина,-0.664562,62,61,14
259,304708,Алиса,Шакурова,-0.665649,36,36,13
260,195651,Егор,Кравченко,-0.687175,61,53,12
261,309714,Валентин,Лиждвой,-0.705344,23,22,4
262,309715,Мария,Ходякова,-0.705344,23,22,4
263,337147,Яна,Бутримович,-0.711774,11,5,4
264,280809,Илья,Наземцев,-0.731129,56,54,10
265,306869,Никита,Розенберг-Траутман,-0.759127,43,39,8
266,278612,Святослав,Борисов,-0.784981,45,45,5
267,331105,Анна,Амброзевич,-0.82646,12,12,1
268,330115,Улугбек,Абдуллаев,-0.845293,18,18,2
269,331104,Екатерина,Тахтамышева,-0.856915,15,15,1
270,329004,Мария,Фридман,-0.965797,29,29,4
